proc,t_sched,t_calc,t_IO,t_total
1,0,0,0,136.245
2,0.033389,62.511223,0.000016,62.544628
4,0.017588,31.40722,0.000016,31.424824
8,0.016505,15.87049,0.000006,15.887
16,0.018768,8.153309,0.000008,8.172086
32,0.019588,4.251714,0.000005,4.271306
64,0.027006,4.453472,0.000008,4.480486
80,0.03087,4.815225,0.000007,4.846102
90,0.031736,4.490077,0.000004,4.521817
100,0.032757,4.397681,0.000003,4.430441
128,0.03162,2.503614,0.000001,2.535235
140,0.034187,4.374915,0.000005,4.409108
150,0.049402,4.623055,0.000033,4.672489
160,0.038593,4.927063,0.000067,4.965723